weights Rp/RJ vrot/km/s 
1.1059633172053928e-99 1.5256310425244959 3.771094261547791
1.1128070816253185e-99 1.6689172446781653 3.7484838764974526
1.1461761368635424e-99 1.607706876280274 3.946097834910076
1.2549304752679302e-99 1.6966552778532584 3.6423427896629486
1.3632813775867225e-99 1.543834312698743 3.632146893696691
1.423688070717431e-99 1.5976874685318054 3.461119792877739
1.6418541797148098e-99 1.6621654987406145 3.739203920044301
1.8510159323296606e-99 1.465111461177267 3.679221877640453
2.0516091840583163e-99 1.76060472549334 3.64240251488311
2.2085665587253597e-99 1.6378742079676645 3.868815185004427
2.216010294994798e-99 1.6585160000662804 3.8414602180247983
2.4470549051749052e-99 1.601734229695714 3.7285025700420693
2.534884418114347e-99 1.7235015263581195 3.8457463506069933
2.7414684506797627e-99 1.4650805922360948 3.772617081900158
3.006256381698886e-99 1.6154649137188284 3.8886018184467424
3.5674938806611877e-99 1.5866738296818514 3.733834403512222
4.808929595106581e-99 1.5533906176828256 3.586201232853745
4.885055557654398e-99 1.6114224000777866 3.681641444619012
5.366105289825468e-99 1.6768076179780889 3.6960696720945965
5.5319010031104516e-99 1.560268573751542 3.6799322155219403
5.7776845326682675e-99 1.6811450615551622 3.689002416301576
7.436353235898371e-99 1.573465350502051 3.669843545025683
7.589742402568791e-99 1.661416031812133 3.679614197369678
8.255729785390692e-99 1.5565868466440973 3.9557828286085805
9.119606704460236e-99 1.7001618521565076 3.6881641983188485
9.133513741135124e-99 1.6500682490763925 3.7561013114885156
9.387833428060638e-99 1.6210200349937445 3.677483639181898
9.729827749565864e-99 1.6627147862914926 3.694159624129111
9.865951317434461e-99 1.675276849052807 3.708299127952283
1.2174185885273192e-98 1.729159091922797 3.7432236813636455
1.3633538575416452e-98 1.696433383678428 3.773137102963582
1.3971328997223878e-98 1.5335829442211524 3.522179352011436
1.5095538234852348e-98 1.6952435496014324 3.751783606187192
1.5146795656460602e-98 1.7372340755691966 3.520441362549935
1.850374548154335e-98 1.7271884741979902 3.8294692682468146
1.95801083816166e-98 1.6062857243791346 3.8817540374420823
1.98920600511132e-98 1.5706312461840222 3.748555383001425
2.2252159604143776e-98 1.6232415396917608 3.670263745725482
2.352507965821464e-98 1.6595777659209783 3.810679799274111
2.484266979597087e-98 1.5251580606760764 3.8230961854509085
2.5070178753579962e-98 1.6761719829672828 3.658123144829217
3.903904442700241e-98 1.6053023174394858 3.572267450328076
4.0365897316137304e-98 1.6983478758293424 3.6386107090581934
5.592302952062411e-98 1.6125755557647397 3.6776449981553476
6.185229437189386e-98 1.5853825763944542 3.8521731643859596
6.82184455147755e-98 1.6562072786224853 3.6366584344477446
6.788080053067063e-98 1.706689593525013 3.776522004241068
6.856550217343152e-98 1.6195658914131728 3.579602809989334
7.555861082925051e-98 1.6211661934729333 3.6878513188223208
1.0416006387729372e-97 1.6320793089349115 3.522432593185208
1.269025144396883e-97 1.6615908181580177 3.8206957626529676
1.3831750679544549e-97 1.6313835554429494 3.808920955297139
1.6861858394690308e-97 1.61354184051089 3.8156752802594545
2.0475535787065128e-97 1.630682850448128 3.88992598507638
2.6568671628983815e-97 1.6226941211287915 3.7389769135245023
2.849793962319055e-97 1.66062074908413 3.686848070683807
3.1595764324439755e-97 1.7225285880581391 3.732468514880394
3.387167559875239e-97 1.7071675071609187 3.828640735693494
3.5003412495348095e-97 1.7329817153291516 3.7849336388941395
3.572361738098965e-97 1.6209335881624534 3.820710293124614
4.740894806192493e-97 1.6550761433042696 3.497578552697534
5.389631004763846e-97 1.7224626581140319 3.5680597798578173
6.522499008709898e-97 1.610083227799529 3.6741247602064067
7.007121211267703e-97 1.6120477483476154 3.5370548700782782
7.020196669732381e-97 1.652871847191752 3.5868360995408146
7.19575490140025e-97 1.6910156527020601 3.5890001662396003
8.055308133764246e-97 1.6403229929926457 3.604588043963127
9.869737482265926e-97 1.5894610250118522 3.755735819015287
9.879941763092548e-97 1.5572807620777915 3.5485320546485
1.0311577370122533e-96 1.5660449390535853 3.820415693597287
1.0483612784809354e-96 1.7197418442958878 3.6563104439845597
1.0709532272405755e-96 1.5085823114314851 3.670091323591323
1.088766017303612e-96 1.6813025687174088 3.7559526094414233
1.3374602811442677e-96 1.6046135610611527 3.804525776462953
1.7457870018987496e-96 1.5320088805869336 3.72681743802096
1.7403090124418017e-96 1.6053663325724727 3.790071194156891
1.750266805683649e-96 1.598069699282033 3.6026297440546395
1.7973983200698102e-96 1.4733055045597823 3.640507356579293
2.0632751499729467e-96 1.641344749220207 3.827064031831285
2.0955878930259056e-96 1.5099009142711415 3.5783579402887145
2.2817228755478832e-96 1.5818682805818831 3.8444611667732778
2.3005653952810937e-96 1.5495765128955286 3.6791084343818254
2.3965502916625393e-96 1.513566632713738 3.84943039450465
2.4325320092391167e-96 1.6834724241291807 3.802980902064378
2.691162719215271e-96 1.662853477174501 3.761560094569617
2.698770341343483e-96 1.530679557362117 3.742354995100823
2.7660677244456272e-96 1.5883956976602165 3.6754580002209054
2.8610250379268815e-96 1.6608799359302209 3.6781171623344733
3.604344626747186e-96 1.6504023601205304 3.7954385582455585
3.6355635130694366e-96 1.6180838450182207 3.7497873614364936
3.679232002034866e-96 1.6381114511554422 3.570002849739413
4.694919636090904e-96 1.7040524823572558 3.7093997324488517
4.750362866899501e-96 1.5958540254078744 3.676667333012559
4.926828772819738e-96 1.5724088310299673 3.475061039452005
5.915897756575672e-96 1.6465657601099695 3.72808375988267
5.899817756490953e-96 1.694230186266246 3.689075104395174
6.381038178302481e-96 1.553692738658338 3.3973820443375295
6.794814867839658e-96 1.7721436199930314 3.867200277084252
7.619816394551532e-96 1.61350430156318 3.783247671838147
8.351833680887217e-96 1.685360406812522 3.841635959420608
9.230039731117825e-96 1.6428411039411417 3.592546234719484
1.0384004949102006e-95 1.561582079588549 3.852365488734519
1.2096835190017913e-95 1.7163387279515971 3.7892340324822595
1.2400359047462233e-95 1.5687720147866 3.741647760280465
1.239101578581363e-95 1.7304367926238977 3.7023846520921073
1.3659844327012318e-95 1.5161723094906217 3.6707489037546113
1.562204546534961e-95 1.5907252764014492 3.3623762874571588
1.6930057239356893e-95 1.5616756461571888 3.7330500404440365
1.818737163311335e-95 1.567131025079743 3.739894493038593
1.8127355171179135e-95 1.6887836075000422 3.680644649911662
1.9157782155676914e-95 1.640210087491523 3.556383959898991
1.9918572856095112e-95 1.6061805444334487 3.678513494387405
2.7226169662269872e-95 1.5928116032513644 3.6629439949233302
3.505664648614411e-95 1.7520184648871369 3.7970396650182088
3.724103214502531e-95 1.619198049344364 3.580946461885405
3.851818115178777e-95 1.5016120575707772 3.5419627567547973
4.4513169419039047e-95 1.670917613291973 3.6097283449825457
4.684076816469524e-95 1.6380591456877363 3.7440546354246336
4.6830798359008563e-95 1.547757364737182 3.690391318491161
4.953641950983292e-95 1.5581078689063128 3.7634512967112608
5.179765279387558e-95 1.5469245666446092 3.7796890555816995
5.746656589972427e-95 1.590290511175676 3.659779955624807
6.84126525877824e-95 1.6769085187873078 3.7031681086671124
7.86389444160896e-95 1.6871296637697277 3.7832574415748645
9.585236020710467e-95 1.6697873288773875 3.756588854355833
1.0201327312487514e-94 1.6123203619028348 3.6594720449289437
1.0384185192092645e-94 1.624459802648516 3.644222272413866
1.1190497050842138e-94 1.7681968355241793 3.710367259899456
1.131067276051806e-94 1.5783119124254137 3.573951636130411
1.1522104868822724e-94 1.6602458686791155 3.467503636830956
1.1567610334873326e-94 1.5423973436269613 3.473661900273359
1.1563012729111155e-94 1.553559878951516 3.6344275641852977
1.1646002425768522e-94 1.6328308441231383 3.7519406865107725
1.2010102316729038e-94 1.5678745041510322 3.809448473676884
1.4718551415268914e-94 1.6858055073083285 3.7459477479074637
1.9182606704541835e-94 1.6301706348812743 3.7039759797167804
1.9443130324629812e-94 1.5934717937571556 3.783599337780437
2.1502594650767235e-94 1.617575176756942 3.7960049690936737
